Category: All categories,,,
,,,
Month,Artificial intelligence: (United States),machine learning: (United States),deep learning: (United States)
2004-01,59,4,1
2004-02,60,5,<1
2004-03,59,3,<1
2004-04,61,4,<1
2004-05,56,3,0
2004-06,52,3,<1
2004-07,54,3,<1
2004-08,51,2,<1
2004-09,53,3,<1
2004-10,50,3,1
2004-11,59,3,1
2004-12,52,3,<1
2005-01,52,3,<1
2005-02,52,3,<1
2005-03,51,3,0
2005-04,49,3,<1
2005-05,47,3,<1
2005-06,44,2,<1
2005-07,39,2,<1
2005-08,45,2,<1
2005-09,47,3,<1
2005-10,44,2,<1
2005-11,48,3,<1
2005-12,42,3,<1
2006-01,40,2,<1
2006-02,43,2,<1
2006-03,46,4,<1
2006-04,44,2,<1
2006-05,42,3,<1
2006-06,40,2,<1
2006-07,35,2,<1
2006-08,39,2,<1
2006-09,46,2,<1
2006-10,40,3,<1
2006-11,41,3,<1
2006-12,41,2,<1
2007-01,39,3,<1
2007-02,42,2,<1
2007-03,42,2,<1
2007-04,41,2,<1
2007-05,40,2,<1
2007-06,41,2,<1
2007-07,42,2,<1
2007-08,39,2,<1
2007-09,45,2,<1
2007-10,42,2,<1
2007-11,41,3,<1
2007-12,41,2,<1
2008-01,42,2,<1
2008-02,45,3,<1
2008-03,45,2,<1
2008-04,43,2,<1
2008-05,45,2,<1
2008-06,41,2,<1
2008-07,39,2,<1
2008-08,40,2,<1
2008-09,42,2,<1
2008-10,43,2,<1
2008-11,44,3,<1
2008-12,43,2,<1
2009-01,41,2,<1
2009-02,47,3,<1
2009-03,45,2,<1
2009-04,46,3,<1
2009-05,44,2,<1
2009-06,44,2,<1
2009-07,40,2,<1
2009-08,45,2,<1
2009-09,49,3,<1
2009-10,47,3,<1
2009-11,49,3,<1
2009-12,45,2,<1
2010-01,43,2,<1
2010-02,43,2,<1
2010-03,45,2,<1
2010-04,45,3,<1
2010-05,46,2,<1
2010-06,40,2,<1
2010-07,40,2,<1
2010-08,43,2,<1
2010-09,43,2,<1
2010-10,47,3,<1
2010-11,47,3,<1
2010-12,46,2,<1
2011-01,42,3,<1
2011-02,43,3,<1
2011-03,41,3,<1
2011-04,42,3,<1
2011-05,42,2,<1
2011-06,40,2,<1
2011-07,38,2,<1
2011-08,40,3,<1
2011-09,41,3,<1
2011-10,48,4,<1
2011-11,44,4,<1
2011-12,41,3,<1
2012-01,40,3,<1
2012-02,40,4,<1
2012-03,41,3,<1
2012-04,41,3,<1
2012-05,40,3,<1
2012-06,36,3,<1
2012-07,37,3,<1
2012-08,37,3,<1
2012-09,39,4,<1
2012-10,39,4,<1
2012-11,39,3,1
2012-12,38,3,<1
2013-01,39,3,<1
2013-02,40,4,<1
2013-03,40,4,1
2013-04,40,4,1
2013-05,39,4,1
2013-06,37,4,1
2013-07,37,3,<1
2013-08,38,4,<1
2013-09,38,4,1
2013-10,40,5,1
2013-11,39,5,1
2013-12,38,4,1
2014-01,42,5,1
2014-02,42,5,1
2014-03,43,5,1
2014-04,42,5,1
2014-05,42,5,1
2014-06,41,5,1
2014-07,41,5,1
2014-08,42,5,1
2014-09,46,6,1
2014-10,44,6,1
2014-11,45,6,1
2014-12,44,5,2
2015-01,51,6,2
2015-02,48,6,2
2015-03,49,7,2
2015-04,49,8,2
2015-05,51,7,2
2015-06,48,7,2
2015-07,51,7,2
2015-08,46,8,2
2015-09,48,8,2
2015-10,49,9,2
2015-11,50,10,3
2015-12,48,8,3
2016-01,48,9,3
2016-02,49,9,3
2016-03,62,10,4
2016-04,55,10,4
2016-05,52,10,3
2016-06,56,10,4
2016-07,45,8,4
2016-08,46,10,4
2016-09,53,11,4
2016-10,61,13,4
2016-11,61,12,5
2016-12,64,13,5
2017-01,64,14,6
2017-02,67,16,6
2017-03,73,17,6
2017-04,72,18,7
2017-05,74,19,7
2017-06,70,18,6
2017-07,76,17,6
2017-08,82,18,7
2017-09,78,19,7
2017-10,85,22,8
2017-11,91,21,8
2017-12,84,18,7
2018-01,90,19,7
2018-02,90,21,8
2018-03,87,21,7
2018-04,90,21,8
2018-05,95,21,7
2018-06,83,21,7
2018-07,76,19,6
2018-08,77,20,7
2018-09,86,21,7
2018-10,90,22,8
2018-11,91,22,7
2018-12,88,19,6
2019-01,89,20,7
2019-02,95,23,8
2019-03,92,21,7
2019-04,96,23,8
2019-05,93,21,7
2019-06,87,21,6
2019-07,83,19,7
2019-08,82,20,6
2019-09,89,22,7
2019-10,91,23,7
2019-11,92,20,7
2019-12,90,19,6
2020-01,96,20,6
2020-02,100,22,7
2020-03,92,19,6
